|   title |   all PubMed cited papers mentioning FISH |
|    1986 |                                    0      |
|    1987 |                                    0      |
|    1988 |                                    0      |
|    1989 |                                    8.0402 |
|    1990 |                                    8.0402 |
|    1991 |                                   40.201  |
|    1992 |                                  225.126  |
|    1993 |                                  635.176  |
|    1994 |                                  956.784  |
|    1995 |                                 1189.95   |
|    1996 |                                 1350.75   |
|    1997 |                                 1463.32   |
|    1998 |                                 1447.24   |
|    1999 |                                 1455.28   |
|    2000 |                                 1463.32   |
|    2001 |                                 1503.52   |
|    2002 |                                 1382.91   |
|    2003 |                                 1447.24   |
|    2004 |                                 1495.48   |
|    2005 |                                 1664.32   |
|    2006 |                                 1841.21   |
|    2007 |                                 1382.91   |
|    1986 |                                    8.0402 |
|    1987 |                                    8.0402 |
|    1988 |                                    8.0402 |
|    1989 |                                    8.0402 |
|    1990 |                                    8.0402 |
|    1991 |                                    8.0402 |
|    1992 |                                   48.2412 |
|    1993 |                                   80.402  |
|    1994 |                                  144.724  |
|    1995 |                                  192.965  |
|    1996 |                                  257.286  |
|    1997 |                                  313.568  |
|    1998 |                                  377.889  |
|    1999 |                                  418.09   |
|    2000 |                                  498.492  |
|    2001 |                                  538.693  |
|    2002 |                                  538.693  |
|    2003 |                                  543.518  |
|    2004 |                                  554.774  |
|    2005 |                                  643.216  |
|    2006 |                                  490.452  |
|    2007 |                                  144.724  |
