| title    |   DNA TE |
| 1        |  3.57375 |
| 2-10     |  1.62443 |
| 11-100   |  1.29955 |
| 101-10^3 |  1.94932 |
| > 10^3   |  2.59909 |
| 1        | 61.7284  |
| 2-10     | 64.6524  |
| 11-100   | 44.5094  |
| 101-10^3 | 13.6452  |
| > 10^3   |  6.82261 |
| 1        |  3.57375 |
| 2-10     |  3.57375 |
| 11-100   |  2.2742  |
| 101-10^3 |  2.2742  |
| > 10^3   |  2.92398 |
| 1        | 30.8642  |
| 2-10     | 29.8895  |
| 11-100   | 51.6569  |
| 101-10^3 | 81.8713  |
| > 10^3   | 87.3944  |
