| title   |     Mitotic |
| <29     | 6.66771e-05 |
| 29-34   | 7.50117e-05 |
| <34     | 6.66771e-05 |
| <29     | 0.000100016 |
| 29-34   | 7.50117e-05 |
| <34     | 0.000175027 |
| <29     | 0.000100016 |
| 29-34   | 0.000150023 |
| <34     | 0.00105016  |
| <29     | 2.50039e-05 |
| 29-34   | 0.00012502  |
| <34     | 0.000800125 |
| <29     | 0.000175027 |
| 29-34   | 0.000700109 |
| <34     | 0.0032255   |
| <29     | 0.000100016 |
| 29-34   | 0.000150023 |
| <34     | 0.000225035 |
| <29     | 0.000200031 |
| 29-34   | 0.000175027 |
| <34     | 0.0012752   |
