|   title |   0.1 s^{-1} |
|     900 |     1.09929  |
|     950 |     0.370398 |
|    1000 |     1.03979  |
|    1050 |     1.3373   |
|    1100 |     3.36036  |
|    1150 |     1.65712  |
|    1200 |     1.71662  |
|     900 |     0.838974 |
|     950 |     1.4563   |
|    1000 |     1.44143  |
|    1050 |     0.52659  |
|    1100 |     0.809223 |
|    1150 |     2.17032  |
|    1200 |     3.88843  |
|     900 |     1.0026   |
|     950 |     0.422462 |
|    1000 |     0.630718 |
|    1050 |     0.935664 |
|    1100 |     1.3373   |
|    1150 |     0.519152 |
|    1200 |     1.30011  |
