| Category                 |   first quartile |       max |   median |        min |   third quartile |       x |
| [unnamed data series #0] |        0.222523  | 0.292793  | 0.244144 |  0.195495  |        0.263063  | 2490165 |
| [unnamed data series #0] |        0.220721  | 0.290991  | 0.240541 |  0.190991  |        0.258559  | 1245082 |
| [unnamed data series #0] |        0.211712  | 0.281982  | 0.231532 |  0.179279  |        0.254054  |  622541 |
| [unnamed data series #0] |        0.221622  | 0.29009   | 0.243243 |  0.19009   |        0.264865  |  311270 |
| [unnamed data series #0] |        0.205405  | 0.274775  | 0.227027 |  0.136937  |        0.252252  |  155635 |
| [unnamed data series #0] |        0.189189  | 0.27027   | 0.216216 |  0.123423  |        0.236036  |   77817 |
| [unnamed data series #0] |        0.145946  | 0.238739  | 0.172072 |  0.0810811 |        0.193694  |   38908 |
| [unnamed data series #0] |        0.140541  | 0.206306  | 0.151351 |  0.123423  |        0.17027   |   19454 |
| [unnamed data series #0] |        0.0792793 | 0.163063  | 0.111712 |  0.0414414 |        0.123423  |    9727 |
| [unnamed data series #0] |        0.0603604 | 0.105405  | 0.081982 |  0.0513514 |        0.0927928 |    4863 |
| [unnamed data series #0] |       -0.0198198 | 0.0441441 | 0        | -0.0423423 |        0.018018  |    2431 |
