|   title |   a/c = 0.2 |
|     0.1 |    10.7037  |
|     0.2 |    11.253   |
|     0.3 |     9.74253 |
|     0.4 |     6.85891 |
|     0.5 |     1.64092 |
|     0.6 |     4.66186 |
|     0.7 |     1.64092 |
|     0.8 |     5.62307 |
|     0.1 |     6.99622 |
|     0.2 |    10.2918  |
|     0.3 |    12.2142  |
|     0.4 |    12.0769  |
|     0.5 |     6.72159 |
|     0.6 |     5.07381 |
|     0.7 |     8.64401 |
|     0.8 |    20.8651  |
|     0.1 |     4.1126  |
|     0.2 |     2.3275  |
|     0.3 |     1.22897 |
|     0.4 |     3.83797 |
|     0.5 |     6.17233 |
|     0.6 |     6.72159 |
|     0.7 |     6.85891 |
|     0.8 |    16.9516  |
|     0.1 |     7.13354 |
|     0.2 |    12.3515  |
|     0.3 |    11.9396  |
|     0.4 |     6.99622 |
|     0.5 |     3.97528 |
|     0.6 |    17.7755  |
|     0.7 |    27.6622  |
|     0.8 |    54.782   |
