| title   |   France 2050 |
| >79     |     0.128228  |
| 70-79   |     0.0965526 |
| 60-69   |     0.104567  |
| 50-59   |     0.104185  |
| 40-49   |     0.109146  |
| 30-39   |     0.114489  |
| 20-29   |     0.111055  |
| 10-19   |     0.113726  |
| 0-9     |     0.116016  |
| >79     |     0.129754  |
| 70-79   |     0.110291  |
| 60-69   |     0.135097  |
| 50-59   |     0.128228  |
| 40-49   |     0.119069  |
| 30-39   |     0.116016  |
| 20-29   |     0.100751  |
| 10-19   |     0.0820506 |
| 0-9     |     0.0759445 |
