|   title |   High Risk |
|       1 |  87.1529    |
|       2 |  99.5856    |
|       3 |  99.5856    |
|       4 |  93.7837    |
|       5 |  46.1252    |
|       6 |   7.1695    |
|       7 |   3.02528   |
|       1 |  12.557     |
|       2 |   1.78201   |
|       3 |   0.124327  |
|       4 |   6.54787   |
|       5 |  47.7828    |
|       6 |   4.26855   |
|       7 |   3.02528   |
|       1 |   1.36759   |
|       2 |  -0.0828844 |
|       3 |  -0.0828844 |
|       4 |   0.124327  |
|       5 |   6.54787   |
|       6 |  89.6395    |
|       7 |  70.1616    |
