| title   |       CSHS |
| 2003/4  |  227.687   |
| 2004/5  | 2795.99    |
| 2005/6  | 2933.91    |
| 2006/7  | 3391.88    |
| 2007/8  | 3818.63    |
| 2008/9  | 4401.51    |
| 2009/10 | 3524.59    |
| 2010/11 | 4026.8     |
| 2003/4  |    9.10747 |
| 2004/5  |  245.902   |
| 2005/6  |  464.481   |
| 2006/7  | 1206.09    |
| 2007/8  | 1768.15    |
| 2008/9  | 2340.62    |
| 2009/10 | 2923.5     |
| 2010/11 | 4307.83    |
| 2003/4  |    9.10747 |
| 2004/5  |    9.10747 |
| 2005/6  |  248.504   |
| 2006/7  |  383.815   |
| 2007/8  |  310.955   |
| 2008/9  |  290.138   |
| 2009/10 |  300.546   |
| 2010/11 |  409.836   || 2003/4  |    9.10747 |
| 2004/5  |    9.10747 |
| 2005/6  |   19.516   |
| 2006/7  |    9.10747 |
| 2007/8  |   27.3224  |
| 2008/9  |  173.042   |
| 2009/10 |  282.332   |
| 2010/11 |  264.117   |
| 2003/4  |    9.10747 |
| 2004/5  |    9.10747 |
| 2005/6  |    9.10747 |
| 2006/7  |    9.10747 |
| 2007/8  |   61.1501  |
| 2008/9  |  245.902   |
| 2009/10 |  282.332   |
| 2010/11 |  409.836   |
