|   title |   Births |
|    2002 |  101.732 |
|    2003 |  288.363 |
|    2004 |  584.777 |
|    2005 |  584.777 |
|    2006 |  936.082 |
|    2007 | 1023.91  |
|    2008 | 1430.1   |
|    2009 | 1177.6   |
|    2010 | 1155.65  |
|    2011 | 1111.73  |
|    2012 | 2011.95  |
|    2013 | 2220.54  |
|    2002 |  255.428 |
|    2003 |  573.798 |
|    2004 |  562.82  |
|    2005 |  936.082 |
|    2006 | 1023.91  |
|    2007 | 1408.15  |
|    2008 | 1583.8   |
|    2009 | 1243.47  |
|    2010 | 1111.73  |
|    2011 | 2033.91  |
|    2012 | 2516.96  |
|    2013 | 1891.19  |
