|   title |   Steel body energy |
|   8.521 |            3.36477  |
|  13.391 |            3.3231   |
|  17.043 |            3.3231   |
|  20.695 |            3.34393  |
|  23.13  |            3.33352  |
|   8.521 |            0.375473 |
|  13.391 |            0.526874 |
|  17.043 |            0.536967 |
|  20.695 |            0.516781 |
|  23.13  |            0.45622  |
|   8.521 |            0.42594  |
|  13.391 |            0.688368 |
|  17.043 |            0.970983 |
|  20.695 |            1.29397  |
|  23.13  |            1.45546  |
|   8.521 |            4.171    |
|  13.391 |            4.50183  |
|  17.043 |            4.81261  |
|  20.695 |            5.08328  |
|  23.13  |            5.18353  |
