|   title |   Mg/B300 |
|       6 |  0.285431 |
|       7 |  0.729435 |
|       8 |  1.4113   |
|       9 |  2.02973  |
|      10 |  2.10109  |
|       6 |  0.888008 |
|       7 |  1.41923  |
|       8 |  1.70466  |
|       9 |  2.62834  |
|      10 |  2.53717  |
|       6 |  0.951437 |
|       7 |  1.28444  |
|       8 |  1.92666  |
|       9 |  2.57681  |
|      10 |  2.29931  |
|       6 |  2.0218   |
|       7 |  2.00595  |
|       8 |  1.95837  |
|       9 |  1.56987  |
|      10 |  0.808722 |
|       6 |  2.79088  |
|       7 |  2.68781  |
|       8 |  2.66402  |
|       9 |  2.08127  |
|      10 |  1.58573  |
|       6 |  2.18831  |
|       7 |  2.11695  |
|       8 |  2.09316  |
|       9 |  1.70466  |
|      10 |  1.37958  |
