| title        |   Weekend sitting |
| 2300 to 2400 |        0.842954   |
| 2200 to 2300 |        0.786116   |
| 2100 to 2200 |        0.770722   |
| 2000 to 2100 |        0.699674   |
| 1900 to 2000 |        0.653493   |
| 1800 to 1900 |        0.640468   |
| 1700 to 1800 |        0.625074   |
| 1600 to 1700 |        0.58955    |
| 1500 to 1600 |        0.568236   |
| 1400 to 1500 |        0.578893   |
| 1300 to 1400 |        0.568236   |
| 1200 to 1300 |        0.556394   |
| 1100 to 1200 |        0.55521    |
| 1000 to 1100 |        0.600207   |
| 0900 to 1000 |        0.683097   |
| 0800 to 0900 |        0.803878   |
| 0700 to 0800 |        0.915187   |
| 0600 to 0700 |        0.968472   |
| 0500 to 0600 |        0.982682   |
| 0400 to 0500 |        0.981498   |
| 0300 to 0400 |        0.977946   |
| 0200 to 0300 |        0.956631   |
| 0100 to 0200 |        0.934133   |
| 2400 to 0100 |        0.879663   |
| 2300 to 2400 |        0.116045   |
| 2200 to 2300 |        0.162226   |
| 2100 to 2200 |        0.17762    |
| 2000 to 2100 |        0.219065   |
| 1900 to 2000 |        0.258141   |
| 1800 to 1900 |        0.251036   |
| 1700 to 1800 |        0.243931   |
| 1600 to 1700 |        0.264062   |
| 1500 to 1600 |        0.278271   |
| 1400 to 1500 |        0.280639   |
| 1300 to 1400 |        0.272351   |
| 1200 to 1300 |        0.294849   |
| 1100 to 1200 |        0.290112   |
| 1000 to 1100 |        0.26643    |
| 0900 to 1000 |        0.21788    |
| 0800 to 0900 |        0.138544   |
| 0700 to 0800 |        0.0603908  |
| 0600 to 0700 |        0.0189461  |
| 0500 to 0600 |        0.0071048  |
| 0400 to 0500 |        0.00828893 |
| 0300 to 0400 |        0.00947306 |
| 0200 to 0300 |        0.0260509  |
| 0100 to 0200 |        0.0426288  |
| 2400 to 0100 |        0.0864417  |
| 2300 to 2400 |        0.0355451  |
| 2200 to 2300 |        0.0454411  |
| 2100 to 2200 |        0.0446799  |
| 2000 to 2100 |        0.0750444  |
| 1900 to 2000 |        0.0852575  |
| 1800 to 1900 |        0.104204   |
| 1700 to 1800 |        0.127886   |
| 1600 to 1700 |        0.14328    |
| 1500 to 1600 |        0.150385   |
| 1400 to 1500 |        0.136175   |
| 1300 to 1400 |        0.153937   |
| 1200 to 1300 |        0.14328    |
| 1100 to 1200 |        0.149201   |
| 1000 to 1100 |        0.130255   |
| 0900 to 1000 |        0.0959147  |
| 0800 to 0900 |        0.0509177  |
| 0700 to 0800 |        0.0189461  |
| 0600 to 0700 |        0.00592066 |
| 0500 to 0600 |        0.0071048  |
| 0400 to 0500 |        0.00592066 |
| 0300 to 0400 |        0.00947306 |
| 0200 to 0300 |        0.0130255  |
| 0100 to 0200 |        0.0165779  |
| 2400 to 0100 |        0.0272351  |
