| title   |   CD cases |
| \leq 1  |  0.0857143 |
| (1,2]   |  0.771429  |
| (2,3]   |  3.34286   |
| (3,4]   |  4.88571   |
| (4,5]   |  7.97143   |
| (5,6]   |  4.71429   |
| (6,7]   |  5.57143   |
| (7,8]   |  1.71429   |
| (8,9]   |  3.94286   |
| (9,10]  |  2.22857   |
| (10,11] |  2.31429   |
| >11     |  4.45714   |
| \leq 1  |  0.557143  |
| (1,2]   |  3.17143   |
| (2,3]   | 10.3714    |
| (3,4]   | 13.2       |
| (4,5]   | 13.5429    |
| (5,6]   |  5.57143   |
| (6,7]   |  5.14286   |
| (7,8]   |  1.84286   |
| (8,9]   |  1.45714   |
| (9,10]  |  0.685714  |
| (10,11] |  1.24286   |
| >11     |  0.428571  |
