|   title |   non-smokers |
|       1 |    0.00500341 |
|       2 |    0.00756646 |
|       3 |    0.00505794 |
|       4 |    0.007621   |
|       5 |    0.00767553 |
|       6 |    0.00511247 |
|       7 |    0.00516701 |
|       8 |    0.00914792 |
|       9 |    0.00789366 |
|      10 |    0.00800273 |
|      11 |    0.00936605 |
|      12 |    0.00402181 |
|      13 |    0.006803   |
|      14 |    0.00543967 |
|      15 |    0.00271302 |
|       1 |    0.0196183  |
|       2 |    0.0146558  |
|       3 |    0.00876619 |
|       4 |    0.010893   |
|       5 |    0.0137832  |
|       6 |    0.00489434 |
|       7 |    0.00423995 |
|       8 |    0.00494888 |
|       9 |    0.00500341 |
|      10 |    0.00783913 |
|      11 |    0.00576687 |
|      12 |    0.00358555 |
|      13 |    0.00511247 |
|      14 |    0.00440354 |
|      15 |    0.00216769 |
