|   title |      Age <30 |
|       1 |  0.0588641   |
|       2 | -0.000627549 |
|       3 |  0.0588641   |
|       4 |  0.294572    |
|       5 |  0.35331     |
|       6 |  0.23508     |
|       1 | -0.000627549 |
|       2 | -0.00138061  |
|       3 |  0.00163163  |
|       4 |  0.138688    |
|       5 |  0.388704    |
|       6 |  0.470788    |
|       1 |  0.00012551  |
|       2 |  0.0385315   |
|       3 |  0.192909    |
|       4 |  0.0776906   |
|       5 |  0.308127    |
|       6 |  0.384939    |
