| title      |   MS-Cu 100 |
| 14-16k     |     36.9827 |
| 140-160 k  |     69.3232 |
| 14-16M     |     95.123  |
| 300-400M   |     93.3061 |
| 0.85-1G    |     83.8583 |
| 8.5-10.5 G |     82.4048 |
| 16-18G     |     66.7796 |
| 14-16k     |     38.0728 |
| 140-160 k  |     65.3261 |
| 14-16M     |     93.6695 |
| 300-400M   |     92.5793 |
| 0.85-1G    |     82.7682 |
| 8.5-10.5 G |     90.3991 |
| 16-18G     |     71.5035 |
| 14-16k     |     35.8925 |
| 140-160 k  |     60.9655 |
| 14-16M     |     89.3089 |
| 300-400M   |     81.3146 |
| 0.85-1G    |     73.6837 |
| 8.5-10.5 G |     71.1401 |
| 16-18G     |     65.3261 |
| 14-16k     |     35.8925 |
| 140-160 k  |     63.1458 |
| 14-16M     |     91.4892 |
| 300-400M   |     83.4949 |
| 0.85-1G    |     87.8554 |
| 8.5-10.5 G |     85.3118 |
| 16-18G     |     73.3204 |
