|   title |   Not Up to Date |
|       4 |         0.11128  |
|       8 |         0.515933 |
|      12 |         1.12291  |
|      16 |         1.52757  |
|      20 |         2.33687  |
|      24 |         5.37178  |
|      28 |         9.62064  |
|      32 |        24.4917   |
|       4 |         0.313606 |
|       8 |         0.11128  |
|      12 |         0.11128  |
|      16 |         3.55083  |
|      20 |        -0.091047 |
|      24 |         7.19272  |
|      28 |        26.0091   |
|      32 |        48.1639   |
