|   title |   Turkish immigrant sample (N = 95) |
|       0 |                          0.0795388  |
|       1 |                          0.00378756 |
|       2 |                          1.0643     |
|       3 |                          8.56367    |
|       4 |                         40.0383     |
|       5 |                         41.0609     |
|       6 |                          9.47269    |
|       7 |                          0.0795388  |
|       0 |                          0.0795388  |
|       1 |                          0.0795388  |
|       2 |                          0.15529    |
|       3 |                          0.950678   |
|       4 |                          4.35948    |
|       5 |                         26.4031     |
|       6 |                         40.4928     |
|       7 |                         28.1075     |
