| title   |   Baseline (Former Smoker) |
| 19-39   |                   34.6309  |
| 40-59   |                   22.7623  |
| 60-     |                   19.9364  |
| 19-39   |                   20.5016  |
| 40-59   |                   10.4227  |
| 60-     |                    6.37231 |
| 19-39   |                   35.8554  |
| 40-59   |                   26.2475  |
| 60-     |                   10.2343  |
| 19-39   |                   27.2836  |
| 40-59   |                   18.7119  |
| 60-     |                    7.31426 |
