|   title |   antepartum |
|    1990 |     182.458  |
|    1995 |     191.13   |
|    2000 |     149.504  |
|    2005 |     182.458  |
|    2010 |     144.301  |
|    2013 |     126.957  |
|    1990 |     140.833  |
|    1995 |     121.754  |
|    2000 |     113.082  |
|    2005 |     151.239  |
|    2010 |     111.348  |
|    2013 |      87.0664 |
|    1990 |     324.678  |
|    1995 |     255.302  |
|    2000 |     286.521  |
|    2005 |     302.131  |
|    2010 |     250.099  |
|    2013 |     237.958  |
|    1990 |      62.7849 |
|    1995 |      55.8474 |
|    2000 |      54.113  |
|    2005 |      55.8474 |
|    2010 |      52.3786 |
|    2013 |      45.441  |
