| title         |   Data 4 |
| 48 and 28     | 0.750406 |
| 48 and 12     | 0.732143 |
| 28 and 12     | 0.752435 |
| 48,28, and 12 | 0.780844 |
| 48 and 28     | 0.762581 |
| 48 and 12     | 0.851867 |
| 28 and 12     | 0.657062 |
| 48,28, and 12 | 0.888393 |
| 48 and 28     | 0.829545 |
| 48 and 12     | 0.847808 |
| 28 and 12     | 0.624594 |
| 48,28, and 12 | 0.882305 |
| 48 and 28     | 0.732143 |
| 48 and 12     | 0.809253 |
| 28 and 12     | 0.703734 |
| 48,28, and 12 | 0.847808 |
| 48 and 28     | 0.600244 |
| 48 and 12     | 0.529221 |
| 28 and 12     | 0.498782 |
| 48,28, and 12 | 0.657062 |
