| title   |   ex changable |
| Cr      |      0.0496175 |
| Ni      |      0.130246  |
| Pb      |      0.0826959 |
| Zn      |      0.328716  |
| Cd      |      0.34939   |
| Cr      |      0.0516849 |
| Ni      |      0.0847633 |
| Pb      |      0.421749  |
| Zn      |      0.101302  |
| Cd      |      0.194335  |
| Cr      |      0.171594  |
| Ni      |      0.177796  |
| Pb      |      0.0640893 |
| Zn      |      0.0806285 |
| Cd      |      0.128179  |
| Cr      |      0.723589  |
| Ni      |      0.60368   |
| Pb      |      0.427951  |
| Zn      |      0.485838  |
| Cd      |      0.324581  |
