| title   |        Cd |
| 7-12    | 0.115784  |
| 13-18   | 0.0950156 |
| 19-35   | 0.0742471 |
| 36-50   | 0.0950156 |
| 51-75   | 0.0846314 |
| 7-12    | 0.882353  |
| 13-18   | 0.637255  |
| 19-35   | 0.794118  |
| 36-50   | 0.696078  |
| 51-75   | 0.941176  |
| 7-12    | 2.33333   |
| 13-18   | 1.06122   |
| 19-35   | 1.20408   |
| 36-50   | 1.61224   |
| 51-75   | 1.4898    |
| 7-12    | 0.188474  |
| 13-18   | 0.115784  |
| 19-35   | 0.1054    |
| 36-50   | 0.126168  |
| 51-75   | 0.157321  |
| 7-12    | 0.333853  |
| 13-18   | 0.344237  |
| 19-35   | 0.281931  |
| 36-50   | 0.3027    |
| 51-75   | 0.261163  |
