| title   |   Chronic pain interfering with activities of daily living |
| 15-24   |                                                    6.63248 |
| 25-34   |                                                    8.82051 |
| 35-44   |                                                    8.2735  |
| 45-54   |                                                   12.9231  |
| 55-64   |                                                   14.5641  |
| 65-74   |                                                   16.7521  |
| 75+     |                                                   16.7521  |
| 15-24   |                                                   11.8291  |
| 25-34   |                                                   18.8034  |
| 35-44   |                                                   19.7607  |
| 45-54   |                                                   32.4786  |
| 55-64   |                                                   28.6496  |
| 65-74   |                                                   21.9487  |
| 75+     |                                                   14.0171  |
| 15-24   |                                                    1.57265 |
| 25-34   |                                                    3.07692 |
| 35-44   |                                                    3.62393 |
| 45-54   |                                                    4.99145 |
| 55-64   |                                                    6.08547 |
| 65-74   |                                                    6.35897 |
| 75+     |                                                    3.89744 |
