| Category   |   first quartile |      max |   median |      min |   third quartile | x     |
| female     |          13.1705 |  31.2268 |  17.9501 |  9.453   |          21.6676 | 20-29 |
| female     |          13.7015 |  31.7578 |  17.9501 |  6.79766 |          22.1986 | 30-39 |
| female     |          15.8258 |  60.4355 |  20.0743 |  7.8598  |          38.6617 | 40-49 |
| female     |          18.4811 | 125.013  |  32.2889 | 10.5151  |          65.2151 | 50-59 |
| female     |          19.6495 | 167.074  |  43.3351 |  9.98407 |          81.3595 | 60-69 |
| male       |          17.9501 |  36.5374 |  23.7918 | 12.1083  |          30.6957 | 20-29 |
| male       |          17.9501 |  48.2209 |  23.2608 | 12.6394  |          32.82   | 30-39 |
| male       |          19.0122 |  44.5035 |  23.7918 | 13.7015  |          31.7578 | 40-49 |
| male       |          18.3749 |  34.0945 |  23.7918 | 11.2586  |          30.3771 | 50-59 |
| male       |          19.6495 |  49.8141 |  26.3409 |  9.98407 |          32.0765 | 60-69 |
