|   title |   Turkish immigrants sample (N=92) |
|       0 |                          10.9405   |
|       1 |                          27.298    |
|       2 |                          41.3028   |
|       3 |                          19.6794   |
|       4 |                           1.08117  |
|       5 |                           0.110171 |
|       0 |                          12.509    |
|       1 |                          25.2813   |
|       2 |                          28.0823   |
|       3 |                          21.0239   |
|       4 |                          11.0525   |
|       5 |                           2.76173  |
