|   title |   Baseline |
|      01 |    99.0585 |
|      02 |   108.982  |
|      03 |    99.4402 |
|      04 |    74.7583 |
|      05 |    89.0076 |
|      06 |    89.3893 |
|      07 |    96.2595 |
|      08 |   104.784  |
|      09 |    93.0789 |
|     010 |    92.6972 |
|      01 |    98.2952 |
|      02 |   102.112  |
|      03 |    94.7328 |
|      04 |    69.7964 |
|      05 |    84.4275 |
|      06 |    84.173  |
|      07 |    90.6616 |
|      08 |    99.7795 |
|      09 |    88.0746 |
|     010 |    86.5479 |
|      01 |    90.5344 |
|      02 |    65.0891 |
|      03 |    65.0042 |
|      04 |    65.0891 |
|      05 |    65.0042 |
|      06 |    65.0042 |
|      07 |    65.0891 |
|      08 |    65.0891 |
|      09 |    65.1739 |
|     010 |    65.0891 |
