| title     |   Plate-Fe |
| 14-16K    |    70.7232 |
| 140-160k  |    89.8848 |
| 14-16M    |   110.52   |
| 300-400M  |   101.677  |
| 0.85-1G   |   116.048  |
| 8.5-10.5G |    97.2547 |
| 16-18G    |   102.229  |
| 14-16K    |    73.4869 |
| 140-160k  |    94.6753 |
| 14-16M    |   111.994  |
| 300-400M  |   109.784  |
| 0.85-1G   |   125.629  |
| 8.5-10.5G |   113.468  |
| 16-18G    |   102.782  |
| 14-16K    |    48.0608 |
| 140-160k  |    83.4362 |
| 14-16M    |   113.837  |
| 300-400M  |   111.073  |
| 0.85-1G   |   123.049  |
| 8.5-10.5G |   109.415  |
| 16-18G    |   103.151  |
