|   title |   Response rate- High Layoff plants |
|    2006 |                             71.3353 |
|    2008 |                             76.1107 |
|    2009 |                             83.2207 |
|    2010 |                             88.2083 |
|    2011 |                             86.4043 |
|    2012 |                             83.5391 |
|    2006 |                             68.7885 |
|    2008 |                             68.364  |
|    2009 |                             81.3106 |
|    2010 |                             90.8613 |
|    2011 |                             88.792  |
|    2012 |                             85.8737 |
|    2006 |                             72.0782 |
|    2008 |                             80.3555 |
|    2009 |                             84.388  |
|    2010 |                             86.7227 |
|    2011 |                             85.5554 |
|    2012 |                             85.1309 |
