| Category   |   first quartile |      max |   median |      min |   third quartile | x       |
| summer     |         13.0478  |  35.1464 |  17.8513 |  7.32218 |          22.1056 | URBAN   |
| summer     |         19.585   |  42.4686 |  25.2908 | 11.7155  |          29.3491 | TRAFFIC |
| summer     |          9.14871 |  30.0209 |  15.6485 |  3.66109 |          19.4024 | INDU    |
| summer     |         11.2578  |  30.7531 |  16.3834 |  5.85774 |          21.2343 | SUB2    |
| transition |         18.6806  |  60.7741 |  24.8404 |  7.32218 |          35.9427 | URBAN   |
| transition |         31.4922  |  84.9372 |  39.4223 | 10.251   |          55.5898 | TRAFFIC |
| transition |         17.7777  |  63.7029 |  26.8622 |  3.66109 |          40.0655 | INDU    |
| transition |         17.7326  |  62.9707 |  25.5813 |  5.12552 |          37.2742 | SUB2    |
| winter     |         34.5337  | 158.159  |  55.057  |  7.32218 |          84.0923 | URBAN   |
| winter     |         40.9513  | 162.552  |  64.5524 |  8.05439 |          96.1164 | TRAFFIC |
| winter     |         33.0056  | 155.23   |  55.9908 |  6.58996 |          84.7423 | INDU    |
| winter     |         28.4982  | 199.163  |  54.0843 | 14.6444  |         102.186  | SUB2    |
