|   title |   a/c =0.2 |
|     0.1 |   0.998126 |
|     0.2 |   1.95197  |
|     0.3 |   2.08823  |
|     0.4 |   0.793732 |
|     0.5 |   3.04207  |
|     0.6 |   5.22228  |
|     0.7 |   7.40249  |
|     0.8 |   8.22006  |
|     0.1 |   2.49702  |
|     0.2 |   1.54318  |
|     0.3 |   0.998126 |
|     0.4 |   0.998126 |
|     0.5 |   1.54318  |
|     0.6 |   2.22449  |
|     0.7 |   3.04207  |
|     0.8 |   3.04207  |
|     0.1 |   0.998126 |
|     0.2 |   1.40692  |
|     0.3 |   2.08823  |
|     0.4 |   2.22449  |
|     0.5 |   1.8157   |
|     0.6 |   1.54318  |
|     0.7 |   0.589337 |
|     0.8 |   0.589337 |
|     0.1 |   4.67723  |
|     0.2 |   5.22228  |
|     0.3 |   5.76733  |
|     0.4 |   5.90359  |
|     0.5 |   5.90359  |
|     0.6 |   5.35854  |
|     0.7 |   4.81349  |
|     0.8 |   4.54096  |
