|   title |      Pomona |
|     100 | 17.0086     |
|     200 |  4.01051    |
|     400 |  1.97267    |
|     800 |  0.981284   |
|    1600 |  0.0449793  |
|    3200 |  0.981284   |
|    6400 |  0.981284   |
|     100 |  7.97603    |
|     200 |  3.01912    |
|     400 |  0.0816972  |
|     800 |  0.0449793  |
|    1600 |  0.0449793  |
|    3200 |  0.00826151 |
|    6400 |  0.0449793  ||     100 |  6.98465    |
|     200 |  5.00189    |
|     400 |  0.981284   |
|     800 |  0.0449793  |
|    1600 |  0.981284   |
|    3200 |  0.100056   |
|    6400 |  0.0449793  ||     100 |  6.98465    |
|     200 |  1.97267    |
|     400 |  0.100056   |
|     800 |  0.0449793  |
|    1600 |  0.100056   |
|    3200 |  0.100056   |
|    6400 |  0.0449793  ||     100 |  2.96405    |
|     200 |  0.100056   |
|     400 |  0.100056   |
|     800 |  2.10118    |
|    1600 |  0.100056   |
|    3200 |  0.100056   |
|    6400 |  0.0449793  |
