| title   |   Existing-condition |
| <1      |            0.0989383 |
| 1~2     |            0.0505361 |
| 2~3     |            0.0831222 |
| 3~4     |            0.0733464 |
| 4~5     |            0.0622194 |
| <1      |            0.100051  |
| 1~2     |            0.0532384 |
| 2~3     |            0.0777177 |
| 3~4     |            0.0681803 |
| 4~5     |            0.061822  |
| <1      |            0.0822479 |
| 1~2     |            0.0416346 |
| 2~3     |            0.0723131 |
| 3~4     |            0.0533179 |
| 4~5     |            0.0427473 |
