|   title |   Mg/B300 |
|       1 |  0.486194 |
|       2 |  0.45018  |
|       3 |  0.468187 |
|       4 |  0.45018  |
|       5 |  0.486194 |
|       6 |  0.432173 |
|       1 |  0.972389 |
|       2 |  0.936375 |
|       3 |  0.918367 |
|       4 |  0.936375 |
|       5 |  0.864346 |
|       6 |  0.846339 |
|       1 |  1.29652  |
|       2 |  1.27851  |
|       3 |  1.20648  |
|       4 |  1.13445  |
|       5 |  0.954382 |
|       6 |  0.954382 |
|       1 |  7.39196  |
|       2 |  7.22989  |
|       3 |  7.15786  |
|       4 |  7.21188  |
|       5 |  7.26591  |
|       6 |  7.31993  |
|       1 |  8.36435  |
|       2 |  8.43637  |
|       3 |  8.36435  |
|       4 |  8.45438  |
|       5 |  8.31032  |
|       6 |  8.14826  |
|       1 |  9.33673  |
|       2 |  9.35474  |
|       3 |  9.37275  |
|       4 |  9.35474  |
|       5 |  9.64286  |
|       6 |  9.7509   |
