|    title |   CSN1_EX9-dd |
| 1.01e-11 |     44.8718   |
| 1.01e-12 |     39.9267   |
| 1.01e-13 |     37.9121   |
| 1.01e-14 |     30.0366   |
| 1.01e-15 |     18.1319   |
| 1.01e-16 |      5.31136  |
| 1.01e-11 |     30.9524   |
| 1.01e-12 |     23.0769   |
| 1.01e-13 |     19.2308   |
| 1.01e-14 |     10.2564   |
| 1.01e-15 |      6.04396  |
| 1.01e-16 |      0.442613 || 1.01e-11 |     25.2747   |
| 1.01e-12 |     16.1172   |
| 1.01e-13 |      3.11355  |
| 1.01e-14 |      1.0989   |
| 1.01e-15 |      0.442613 |
| 1.01e-16 |      0.442613 || 1.01e-11 |     12.0879   |
| 1.01e-12 |     10.2564   |
| 1.01e-13 |      0.381563 |
| 1.01e-14 |      0.442613 |
| 1.01e-15 |      0.320513 |
| 1.01e-16 |      0.442613 || 1.01e-11 |      6.04396  |
| 1.01e-12 |      0.381563 |
| 1.01e-13 |      0.381563 |
| 1.01e-14 |      0.320513 |
| 1.01e-15 |      0.320513 |
| 1.01e-16 |      0.442613 || 1.01e-11 |      4.21245  |
| 1.01e-12 |      2.1978   |
| 1.01e-13 |      0.381563 |
| 1.01e-14 |      0.442613 |
| 1.01e-15 |      0.320513 |
| 1.01e-16 |      0.320513 |
| 1.01e-11 |      1.0989   |
| 1.01e-12 |      0.320513 |
| 1.01e-13 |      0.381563 |
| 1.01e-14 |      0.381563 |
| 1.01e-15 |      0.320513 |
| 1.01e-16 |      0.320513 |
| 1.01e-11 |      1.0989   |
| 1.01e-12 |      0.320513 |
| 1.01e-13 |      0.320513 |
| 1.01e-14 |      0.320513 |
| 1.01e-15 |      0.320513 |
| 1.01e-16 |      0.442613 |
