|   title |   1 wt % |
|      15 |  6.03803 |
|      20 |  7.02787 |
|      25 |  7.02787 |
|      30 |  8.53868 |
|      35 | 14.9987  |
|      15 |  4.99609 |
|      20 |  8.01771 |
|      25 |  9.00755 |
|      30 | 12.0292  |
|      35 | 13.9915  |
|      15 |  7.02787 |
|      20 |  8.48659 |
|      25 | 12.0292  |
|      30 | 13.019   |
|      35 | 14.9987  |
|      15 |  7.54884 |
|      20 |  8.01771 |
|      25 | 13.019   |
|      30 | 14.9987  |
|      35 | 16.0406  |
|      15 |  8.01771 |
|      20 | 10.0495  |
|      25 | 13.019   |
|      30 | 16.5269  |
|      35 | 16.9784  |
