| title   |     Day 1 |
| AJ      | 0.10989   |
| CC      | 0.10949   |
| DW      | 0.119511  |
| AJ      | 0.129533  |
| CC      | 0.10949   |
| DW      | 0.120313  |
| AJ      | 0.0998685 |
| CC      | 0.120313  |
| DW      | 0.120313  |
| AJ      | 0.10989   |
| CC      | 0.119912  |
| DW      | 0.129934  |
| AJ      | 0.119912  |
| CC      | 0.10969   |
| DW      | 0.119912  |
| AJ      | 0.10949   |
| CC      | 0.129934  |
| DW      | 0.119912  |
| AJ      | 0.119111  |
| CC      | 0.120313  |
| DW      | 0.120313  |
| AJ      | 0.120714  |
| CC      | 0.10949   |
| DW      | 0.129934  |
| AJ      | 0.120714  |
| CC      | 0.129934  |
| DW      | 0.119912  |
| AJ      | 0.119912  |
| CC      | 0.130335  |
| DW      | 0.119912  |
| AJ      | 0.129934  |
| CC      | 0.129934  |
| DW      | 0.129934  |
| AJ      | 0.120714  |
| CC      | 0.139956  |
| DW      | 0.130335  |
