| title        |   Weekday sitting |
| 2300 to 2400 |        0.833545   |
| 2200 to 2300 |        0.782719   |
| 2100 to 2200 |        0.747141   |
| 2000 to 2100 |        0.635324   |
| 1900 to 2000 |        0.594663   |
| 1800 to 1900 |        0.554003   |
| 1700 to 1800 |        0.594663   |
| 1600 to 1700 |        0.673443   |
| 1500 to 1600 |        0.716645   |
| 1400 to 1500 |        0.716645   |
| 1300 to 1400 |        0.670902   |
| 1200 to 1300 |        0.683609   |
| 1100 to 1200 |        0.721728   |
| 1000 to 1100 |        0.711563   |
| 0900 to 1000 |        0.64803    |
| 0800 to 0900 |        0.556544   |
| 0700 to 0800 |        0.642948   |
| 0600 to 0700 |        0.84371    |
| 0500to 0600  |        0.965693   |
| 0400 to 0500 |        0.98094    |
| 0300 to 0400 |        0.991105   |
| 0200 to 0300 |        0.986023   |
| 0100 to 0200 |        0.975858   |
| 2400 to 0100 |        0.947903   |
| 2300 to 2400 |        0.129606   |
| 2200 to 2300 |        0.165184   |
| 2100 to 2200 |        0.180432   |
| 2000 to 2100 |        0.256671   |
| 1900 to 2000 |        0.277001   |
| 1800 to 1900 |        0.277001   |
| 1700 to 1800 |        0.249047   |
| 1600 to 1700 |        0.231258   |
| 1500 to 1600 |        0.21601    |
| 1400 to 1500 |        0.208386   |
| 1300 to 1400 |        0.221093   |
| 1200 to 1300 |        0.21601    |
| 1100 to 1200 |        0.21601    |
| 1000 to 1100 |        0.221093   |
| 0900 to 1000 |        0.236341   |
| 0800 to 0900 |        0.27446    |
| 0700 to 0800 |        0.264295   |
| 0600 to 0700 |        0.127065   |
| 0500to 0600  |        0.0304956  |
| 0400 to 0500 |        0.0177891  |
| 0300 to 0400 |        0.00762389 |
| 0200 to 0300 |        0.0127065  |
| 0100 to 0200 |        0.0228717  |
| 2400 to 0100 |        0.043202   |
| 2300 to 2400 |        0.0393901  |
| 2200 to 2300 |        0.0563321  |
| 2100 to 2200 |        0.0766624  |
| 2000 to 2100 |        0.110546   |
| 1900 to 2000 |        0.130877   |
| 1800 to 1900 |        0.173232   |
| 1700 to 1800 |        0.161372   |
| 1600 to 1700 |        0.100381   |
| 1500 to 1600 |        0.0698856  |
| 1400 to 1500 |        0.0783566  |
| 1300 to 1400 |        0.113088   |
| 1200 to 1300 |        0.10377    |
| 1100 to 1200 |        0.064803   |
| 1000 to 1100 |        0.0715798  |
| 0900 to 1000 |        0.119864   |
| 0800 to 0900 |        0.173232   |
| 0700 to 0800 |        0.0952986  |
| 0600 to 0700 |        0.0343075  |
| 0500to 0600  |        0.00804744 |
| 0400 to 0500 |        0.00381194 |
| 0300 to 0400 |        0.00465904 |
| 0200 to 0300 |        0.00550614 |
| 0100 to 0200 |        0.00465904 |
| 2400 to 0100 |        0.01313    |
