|   title |   WFCM with deoising |
|       1 |              1.52947 |
|       2 |              1.58042 |
|       3 |              1.56769 |
|       4 |              1.54403 |
|       5 |              1.51492 |
|       6 |              1.68414 |
|       7 |              1.80439 |
|       1 |              1.5131  |
|       2 |              1.58224 |
|       3 |              1.56769 |
|       4 |              1.55677 |
|       5 |              1.51492 |
|       6 |              1.68596 |
|       7 |              1.01998 |
|       1 |              1.44759 |
|       2 |              1.46215 |
|       3 |              1.48034 |
|       4 |              1.49126 |
|       5 |              1.51492 |
|       6 |              1.60772 |
|       7 |              1.52765 ||       1 |              1.44577 |
|       2 |              1.45669 |
|       3 |              1.4949  |
|       4 |              1.48944 |
|       5 |              1.51128 |
|       6 |              1.4949  |
|       7 |              1.52765 |
