| title   |   Coal Fly Ash |
| Al      |    0.97068     |
| As      |    0.00100373  |
| Ba      |    0.0200493   |
| Cd      |    2.66659e-05 |
| Co      |    0.000596272 |
| Cr      |    0.00224999  |
| Cu      |    0.00140808  |
| Mo      |    0.000158018 |
| Ni      |    0.00173418  |
| Pb      |    0.00182689  |
| Sb      |    0.000170857 |
| Se      |    0.000319182 |
| V       |    0.0035953   |
| Zn      |    0.00269986  |
| Al      |    0.97068     |
| As      |    0.000928303 |
| Ba      |    0.0681715   |
| Cd      |    0.000342133 |
| Co      |    0.00109474  |
| Cr      |    0.00540633  |
| Cu      |    0.0776507   |
| Mo      |    0.00249698  |
| Ni      |    0.00350289  |
| Pb      |    0.0211211   |
| Sb      |    0.00589655  |
| Se      |    0.00075374  |
| V       |    0.00574499  |
| Zn      |    0.145061    |
